phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
P272,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/Q71AW0,Q71AW0,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,Lactococcus lactis phage p272,,,,,none,medium,high
mEp500,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,no independent literature found for this phage,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,resolved,"Analysis of some phenotypic traits of feces-borne temperate lambdoid bacteriophages from different immunity groups: a high incidence of cor+, FhuA-dependent phages",no literature,no independent literature found for mEp500,high,high,none
K139,yes,contractile,Myoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,cell wall,O1 antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Nesper et al. 2000,10.1128/jb.182.18.5097-5104.2000, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP191367.1,NZ_CP191367.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Vibrio cholerae,"Vibrio cholerae strain GD25VC001 chromosome 1, complete sequence",,resolved,Characterization of<i>Vibrio cholerae</i>O1 Antigen as the Bacteriophage K139 Receptor and Identification of IS<i>1004</i>Insertions Aborting O1 Antigen Biosynthesis,corroborated,30 independent record(s) link K139 to LPS,high,medium,none
sk1,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,rhamnose in carbohydrates in cell wall,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Valyasevi et al. 1994,10.3168/jds.s0022-0302(94)76921-6, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/O21886,O21886,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,name collision resolved by host; other candidates: Pantoea phage vB_PagP-SK1,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,Lactococcus phage SK1,resolved,Lactococcus lactis ssp. lactis C2 Bacteriophage sk1 Receptor involving Rhamnose and Glucose Moieties in the Cell Wall,corroborated,886 independent record(s) link sk1 to N/A,none,medium,high
YpP-G,yes,short,Podoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,cell wall,HepI/Glc residues are also involved in receptor activity,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Filippov et al. 2011,10.1371/journal.pone.0025486, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,receptor text does not support domain 'LPS',,host genome fallback: gene(s) HepI not found,phage not found in UniProt,,Yersinia pestis,"Yersinia pestis strain FDAARGOS_601 chromosome, complete genome",,resolved,Bacteriophage-Resistant Mutants in Yersinia pestis: Identification of Phage Receptors and Attenuation for Mice,corroborated,2 independent record(s) link YpP-G to HepI,high,medium,none
JM2,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/R9R109,R9R109,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,Lactococcus phage jm2,,,,,none,medium,high
mEp410,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,phage not found in UniProt,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",,,,,,high,high,none
F373,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
M1,yes,contractile,Myoviridae,Escherichia coli ,562,Escherichia coli,Gram negative,cell wall,Protein OmpA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hashemolhosseini et al. 1994,10.1006/jmbi.1994.1424, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/EU183344.1,EU183344.1,specific gene,OmpA,yes,https://www.uniprot.org/uniprotkb/P08231,P08231,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpA,,,Escherichia coli,"Escherichia coli strain SYW048 outer membrane protein A (ompA) gene, ompA-2 allele, partial cds",Enterobacteria phage M1,resolved,Alterations of Receptor Specificities of Coliphages of the T2 Family,corroborated,300 independent record(s) link M1 to OmpA,high,high,high
F385,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
K10,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Outer membrane protein LamB (maltodextran selective channel),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Roa 1979,10.1128/jb.140.2.680-686.1979, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M26131.1,M26131.1,specific gene,LamB,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene LamB,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"E.coli lambda receptor (lamB) gene, complete cds",,resolved,"Interaction of bacteriophage K10 with its receptor, the lamB protein of Escherichia coli",corroborated,56 independent record(s) link K10 to LamB,high,high,none
APK89,yes,short,Autographiviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Popova et al. 2021,10.1128/JVI.01714-20, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",,,,,,high,medium,none
JS09,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Zhou et al. 2021,10.1128/mSphere.01286-20, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",,,,,,high,medium,none
ϕCTX,yes,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,cell wall,"Core polysaccharide of LPS, with emphasis on L-rhamnose and D-glucose residues in the outer core",LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Yokota et al. 1994,10.1128/jb.176.17.5262-5269.1994, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain PA3 isolate PA3 chromosome 1, complete sequence",,,,,,high,medium,none
SS1,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,OmpC or LamB,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Beher et al. 1981,10.1128/jvi.38.1.372-375.1981, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/GQ167032.1,GQ167032.1,specific gene,OmpC,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpC,phage present in UniProt but no tail/RBP protein annotated,,Escherichia coli,"Escherichia coli strain EC-937-2/07 outer membrane protein C (ompC) gene, complete cds",,,,,,high,high,none
S113,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,yes,https://www.uniprot.org/uniprotkb/A0A2Z5HKG9,A0A2Z5HKG9,specific RBP,Receptor-binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene BtuB,,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella typhimurium vitamin B12 transport protein (btuB) gene, complete cds",Salmonella phage S113,,,,,high,high,high
PL-1,yes,long non-contractile,Siphoviridae,Lactobacillus casei,1582,Lacticaseibacillus casei,Gram positive,cell wall,L-rhamnose in cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,"Watanabe and Takesue 1975, Ishibashi et al. 1982","10.1099/0022-1317-28-1-29 (Watanabe and Takesue), 10.1099/00221287-128-10-2251 (Ishibashi et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP074377.1,NZ_CP074377.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/U5U3Z7,U5U3Z7,other tail protein,Major tail protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,no specific RBP annotated; using another tail protein (Patrick's fallback),taxonomic synonym applied: Lactobacillus casei -> Lacticaseibacillus casei,Lacticaseibacillus casei,"Lacticaseibacillus casei strain FBL6 chromosome, complete genome",Lactobacillus phage PL-1,,,,,none,medium,medium
FC3-2,yes,contractile,Myoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Tomas et al. 1987,10.1111/j.1574-6968.1987.tb02201.x, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ477362.1,NZ_OZ477362.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Klebsiella pneumoniae,Klebsiella pneumoniae strain 49856 isolate 49856 chromosome 1,,resolved,"Identification of the cell surface receptor for FC3-2, FC3-3 and FC3-6 bacteriophages from Klebsiella pneumoniae",corroborated,8 independent record(s) link FC3-2 to LPS,high,medium,none
fPS-9,yes,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A2C9D011,A0A2C9D011,specific RBP,Phage tail fibers,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",Yersinia phage fPS-9,,,,,high,medium,high
SPN13U,yes,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,resolved,Receptor Diversity and Host Interaction of Bacteriophages Infecting Salmonella enterica Serovar Typhimurium,corroborated,1 independent record(s) link SPN13U to LPS,high,medium,none
VP5,yes,short,Podoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,cell wall,OmpW,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Xu et al. 2014,10.1128/JVI.03186-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/MF100046.1,MF100046.1,specific gene,OmpW,yes,https://www.uniprot.org/uniprotkb/Q6R6B2,Q6R6B2,other tail protein,Major tail subunit,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene OmpW,no specific RBP annotated; using another tail protein (Patrick's fallback),,Vibrio cholerae,"Vibrio cholerae strain R-19430 OmpW (ompW) gene, complete cds",Vibrio phage VP5,,,,,high,high,medium
