phage,tailed,tail_morphology,family,main_host,host_taxid,host_canonical_name,gram_stain,receptor_location,host_receptor,receptor_domain,domain_class,host_range,host_range_basis,host_range_confidence,host_range_note,reference,doi,comments,verified,has_genbank,genbank_link,genbank_accession,genbank_tier,genbank_gene,has_uniprot,uniprot_link,uniprot_accession,uniprot_tier,uniprot_protein,source,source_citation,date_retrieved,needs_review,review_reasons,domain_confidence,genbank_confidence,uniprot_confidence
ϕCTX,True,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,cell wall,"Core polysaccharide of LPS, with emphasis on L-rhamnose and D-glucose residues in the outer core",LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Yokota et al. 1994,10.1128/jb.176.17.5262-5269.1994, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
SS1,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,OmpC or LamB,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Beher et al. 1981,10.1128/jvi.38.1.372-375.1981, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/GQ167032.1,GQ167032.1,specific gene,OmpC,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
S113,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,True,https://www.uniprot.org/uniprotkb/A0A2Z5HKG9,A0A2Z5HKG9,specific RBP,Receptor-binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
PL-1,True,long non-contractile,Siphoviridae,Lactobacillus casei,1582,Lacticaseibacillus casei,Gram positive,cell wall,L-rhamnose in cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,"Watanabe and Takesue 1975, Ishibashi et al. 1982","10.1099/0022-1317-28-1-29 (Watanabe and Takesue), 10.1099/00221287-128-10-2251 (Ishibashi et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP074377.1,NZ_CP074377.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/U5U3Z7,U5U3Z7,other tail protein,Major tail protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,medium
FC3-2,True,contractile,Myoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Tomas et al. 1987,10.1111/j.1574-6968.1987.tb02201.x, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ477362.1,NZ_OZ477362.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
fPS-9,True,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A2C9D011,A0A2C9D011,specific RBP,Phage tail fibers,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
SPN13U,True,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
VP5,True,short,Podoviridae,Vibrio cholerae,666,Vibrio cholerae,Gram negative,cell wall,OmpW,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Xu et al. 2014,10.1128/JVI.03186-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/MF100046.1,MF100046.1,specific gene,OmpW,True,https://www.uniprot.org/uniprotkb/Q6R6B2,Q6R6B2,other tail protein,Major tail subunit,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,medium
PP101,True,contractile,Myoviridae,Pectobacterium brasiliense,180957,Pectobacterium brasiliense,Gram negative,cell wall,O polysaccharide,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Lukianova et al. 2020,10.3389/fmicb.2019.03147, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP179689.1,NZ_CP179689.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A1J0MFK4,A0A1J0MFK4,specific RBP,Putative tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
Pharr,True,short,Podoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Hesse et al. 2020,10.1128/mBio.02530-19, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ477362.1,NZ_OZ477362.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A4D6DYC2,A0A4D6DYC2,specific RBP,Probable tail spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
7-7-1,True,contractile,Myoviridae,Agrobacterium sp.,361,Agrobacterium sp.,Gram negative,"flagella, cell wall","flagellum, rotation is required for infection, lipopolysaccharide secondary receptor",Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,"Yen et al. 2012, Gonzalez et al. 2018","10.1128/AEM.01082-12 (Yen et al), 10.1128/JB.00363-18 (Gonzalez et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/QQ024394.1,QQ024394.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/J7F8Z3,J7F8Z3,specific RBP,Putative tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,medium,medium,high
B3,True,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Oliveira et al. 2017,10.1111/1462-2920.13970, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A2I7R0J5,A0A2I7R0J5,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
SPN6T,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,FliC or FljB,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/JN587177.1,JN587177.1,specific gene,FliC,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
mEp539,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Hernandez-Sanchez et al. 2008,10.1007/s00705-008-0111-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
NM8,True,long non-contractile,Siphoviridae,Rhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Defives et al. 1996,10.1007/s002849900130, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
PBP1,True,long non-contractile,Siphoviridae,Bacillus pumulis,1408,Bacillus pumilus,Gram positive,flagella,flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Lovett 1972,10.1016/0042-6822(72)90564-8, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139116.1,NZ_CP139116.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
FC3-6,True,contractile,Myoviridae,Klebsiella pneumoniae,573,Klebsiella pneumoniae,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Tomas et al. 1987,10.1111/j.1574-6968.1987.tb02201.x, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ477362.1,NZ_OZ477362.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
9NA,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Andres et al. 2012,10.1111/j.1365-2958.2012.08006.x, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/G8GV21,G8GV21,specific RBP,Tailspike,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
S126,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,True,https://www.uniprot.org/uniprotkb/A0A2Z5HQ81,A0A2Z5HQ81,specific RBP,Receptor-binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
P22,True,short,Podoviridae,Salmonella sp.,599,Salmonella sp.,Gram negative,cell wall; O-chain structure that are enzymatically cleaved by phages,α-rhmanosyl 1-3 galactose linkage of the O-chain,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Iwashita and Kanegasaki 1973,10.1016/0006-291x(73)91101-7, ,True,False,,,none,,True,https://www.uniprot.org/uniprotkb/P12528,P12528,specific RBP,Tail spike protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,receptor text does not support domain 'LPS',high,none,high
ml3,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,"rhamnose in carbohydrates in cell wall for reversible binding, Pip (phage infection protein)  for irreversible binding",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Monteville et al. 1994,10.1128/aem.60.9.3204-3211.1994, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,receptor text does not support domain 'Membrane Proteins',high,medium,none
52A,True,long non-contractile,Siphoviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,O-acetyl group from the 6-position of muramic acid residues in murein,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Shaw and Chatterjee 1971,10.1128/jb.108.1.584-585.1971, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
φM5,True,contractile,Myoviridae,Sinorhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,lipopolysaccharide core residues and outer membrane porin RopA2,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Crook et al. 2013,10.1128/JB.00480-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0AAE8XE24,A0AAE8XE24,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,medium,high
φM12,True,contractile,Myoviridae,Sinorhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,outer membrane porin RopA1,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Crook et al. 2013,10.1128/JB.00480-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/S5MAS7,S5MAS7,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
PSA,True,long non-contractile,Siphoviridae,Listeria monocytogenes,1639,Listeria monocytogenes,Gram positive,cell wall,galactosyalted GlcNAc residues of wall teichoic acids,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,"Dunne et al. 2019, Sumrall et al. 2019",10.1111/mmi.14455 (Sumrall et al), ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP190322.1,NZ_CP190322.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q858W9,Q858W9,other tail protein,Major tail protein b,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,medium
CYM,True,long non-contractile,Siphoviridae,Streptococcus thermophilus,1308,Streptococcus thermophilus,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Quiberoni et al. 2000,10.1046/j.1365-2672.2000.01214.x, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP065485.1,NZ_CP065485.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
φ29,True,short,Podoviridae,Bacillus subtilis,1423,Bacillus subtilis,Gram positive,cell wall,glucosylation of polyglycerol  teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Young 1967,10.1073/pnas.58.6.2377, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP160208.1,NZ_CP160208.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A1W6DXS8,A0A1W6DXS8,specific RBP,Putative tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence UniProt assignment | ambiguous phage name across organisms,high,medium,low
IME341,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FadL,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Li et al. 2019,10.3389/fmicb.2019.00850, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M60607.1,M60607.1,specific gene,FadL,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
B1,True,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Oliveira et al. 2017,10.1111/1462-2920.13970, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0AAE7RBV6,A0AAE7RBV6,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence UniProt assignment | ambiguous phage name across organisms,high,medium,low
